question,expected,actual_1,actual_2,actual_3,verdict
Where can the Space Helmet be purchased?,The Space Helmet can be purchased from the Abandoned House.,"The Space Helmet can be purchased from the Abandoned House for 20,000g. However, you need to earn the ""Danger In The Deep"" achievement by reaching the bottom of the 'dangerous' version of the mines first.","The Space Helmet can be purchased at the Abandoned House for 20,000g, but only after earning the ""Danger In The Deep"" achievement, which requires reaching the bottom of the 'dangerous' mines.","The Space Helmet can be purchased from the Abandoned House for 20,000g. However, you must first earn the ""Danger In The Deep"" achievement, which requires reaching the bottom of the dangerous mines.",PASS
How much does the Space Helmet cost to purchase?,"The Space Helmet costs 20,000g to purchase.","The Space Helmet costs 20,000g to purchase, available from the Abandoned House after achieving ""Danger In The Deep"" (reaching the bottom of the dangerous mines).","The Space Helmet costs 20,000g and can be purchased from the Abandoned House after earning the ""Danger In The Deep"" achievement, which requires reaching the bottom of the 'dangerous' mines.","The Space Helmet costs 20,000g and can be purchased from the Abandoned House after earning the ""Danger In The Deep"" achievement (reaching the bottom of the dangerous mines).",PASS
What is Green Tea in Stardew Valley?,"Green Tea is a drinkable Artisan Good made with the Keg using Tea Leaves, taking 3 hours.","Green Tea is a drinkable artisan good made in a keg using Tea Leaves, taking 3 hours to process. When consumed, it provides a buff of +30 Max Energy and +0.5 Speed for 4 minutes 12 seconds. It stacks with food buffs but overrides other drink buffs like Coffee. Green Tea can also be used in the Brewer's Bundle (Remixed), in tailoring for a Tea Shirt, and for dyeing purposes.","Green Tea is an artisan drink made in a Keg using Tea Leaves, taking 3 in-game hours to process. When consumed, it grants buffs of +30 Max Energy and +0.5 Speed for 4 minutes and 12 seconds. These effects stack with food buffs but replace other drink buffs (like Coffee or Triple Shot Espresso). It's also part of the Brewer's Bundle in the Remixed Community Center and can be bought from Caroline during the Desert Festival.","Green Tea is a drinkable artisan product made from Tea Leaves using a Keg, taking 3 in-game hours to produce. When consumed, it gives a temporary +30 Max Energy and +0.5 Speed buff that lasts 4 minutes 12 seconds. Its buffs stack with food bonuses but replace other drink effects. It can also be used in tailoring and as an option in the Brewer’s Bundle for the Pantry (Remixed).",PASS
What effect does consuming Green Tea have in Stardew Valley?,"When consumed, it grants the player +30 Max Energy and +0.5 Speed for 4m 12s.","Consuming Green Tea grants the player +30 Max Energy and +0.5 Speed for 4 minutes and 12 seconds. The buff stacks with food buffs (including Max Energy), but it replaces other drink buffs like Coffee or Ginger Ale.","Consuming Green Tea grants you +30 Max Energy and +0.5 Speed for 4 minutes and 12 seconds. The drink's buff stacks with food buffs, including Max Energy boosts, but it will replace any other drink-related buffs, such as those from Coffee or Ginger Ale.",Drinking Green Tea boosts your Max Energy by +30 and Speed by +0.5 for 4 minutes and 12 seconds. Its buffs stack with food buffs but replace any existing drink buffs like those from Coffee or Ginger Ale.,PASS
What is the Brochure Cabinet in Stardew Valley?,The Brochure Cabinet is a piece of furniture available from the Junimo Catalogue.,The Brochure Cabinet is a piece of furniture available through the Junimo Catalogue. It was introduced in version 1.6. Would you like guidance on acquiring it?,The Brochure Cabinet is a piece of furniture introduced in version 1.6 and can be acquired from the Junimo Catalogue. Let me know if you'd like more details.,The Brochure Cabinet is a piece of furniture available from the Junimo Catalogue. It was introduced in version 1.6.,PASS
When was the Brochure Cabinet introduced in Stardew Valley?,The Brochure Cabinet was introduced in version 1.6 of Stardew Valley.,The Brochure Cabinet was introduced in version 1.6.,The Brochure Cabinet was introduced in version 1.6.,The Brochure Cabinet was introduced in version 1.6.,PASS
Where can the Stacked Elixir Shelf be obtained?,The Stacked Elixir Shelf is available from the Wizard Catalogue.,The Stacked Elixir Shelf can be obtained from the Wizard's Catalogue.,The Stacked Elixir Shelf can be obtained from the Wizard Catalogue.,The Stacked Elixir Shelf can be obtained from the Wizard Catalogue.,PASS
Can the Stacked Elixir Shelf be placed outdoors?,The Stacked Elixir Shelf cannot be placed outdoors.,The information doesn't clearly specify if the Stacked Elixir Shelf can be placed outdoors. Do you want me to clarify further?,"The search didn't specify if the Stacked Elixir Shelf can be placed outdoors. It is generally treated as furniture, which may have placement restrictions. Do you want me to confirm or look further?","The Stacked Elixir Shelf is a furniture item purchased from the Wizard Catalogue. Furniture like this generally cannot be placed outdoors unless explicitly stated, and available evidence doesn't confirm outdoor placement for it.",FAIL
What is the primary season for foraging Hazelnut in Stardew Valley?,The Hazelnut is found via foraging throughout Stardew Valley in the Fall.,The primary season for foraging Hazelnuts is Fall. They can be found throughout the area or obtained by shaking Maple Trees from the 15th to the 28th of Fall.,The primary season for foraging Hazelnut is Fall.,Hazelnuts can primarily be foraged during the Fall season. They can also be found by shaking Maple Trees between Fall 15 and 28.,FAIL
In what bundle is Hazelnut used in Stardew Valley?,Hazelnut is used in the Fall Foraging Bundle in the Crafts Room.,The Hazelnut is used in the Fall Foraging Bundle located in the Crafts Room.,Hazelnut is used in the Fall Foraging Bundle in the Crafts Room.,The Hazelnut is used in the Fall Foraging Bundle located in the Crafts Room.,PASS
What is assumed in the crop growth tables for single-harvest crops?,The tables assume that seeds are replanted and watered on the day of harvest.,"The crop growth tables for single-harvest crops assume that seeds are replanted and watered on the day of harvest, unless stated otherwise.",The crop growth tables for single-harvest crops assume that seeds are replanted and watered immediately on the day of harvest. This ensures continuous growth cycles for calculation purposes.,"For single-harvest crops, the growth tables assume that seeds are replanted and watered on the day of harvest.",PASS
What is the increase in crop growth with Speed-Gro or the Agriculturist Profession?,The increase in growth is 10% with Speed-Gro or the Agriculturist Profession.,"Speed-Gro increases crop growth by 10%, while the Agriculturist Profession also provides a 10% growth boost. If both are combined, the total growth boost increases to 20%.","Using Speed-Gro or the Agriculturist Profession reduces crop growth time by 10%. When combined, Speed-Gro and the Agriculturist Profession can reduce growth time further, to a total of 20%. Multi-harvest crops, however, aren't affected in terms of the time between subsequent harvests.","Speed-Gro or the Agriculturist Profession each boost crop growth by 10%. When combined, they total a 20% growth speed increase.",PASS
Where can the Diviner Table be purchased for free?,The Diviner Table is available from the Furniture Catalogue for 0g.,"The Diviner Table can be obtained for free through the Furniture Catalogue. Once purchased for a one-time cost of 200,000g at the Carpenter's Shop, the catalogue allows unlimited free access to various furniture, including the Diviner Table.","The Diviner Table can be acquired for free from the Furniture Catalogue if you've already purchased the catalogue. Otherwise, it rotates in stock at the Carpenter's Shop or can appear in the Traveling Cart, but these options aren't free.","The Diviner Table can be obtained for free from the Furniture Catalogue, which offers it at no additional cost.",FAIL
How much does the Diviner Table cost at the Carpenter's Shop?,"The Diviner Table costs 2,250g at the Carpenter's Shop.","The Diviner Table costs 2,250g at the Carpenter's Shop.","The Diviner Table costs 2,250g when available at the Carpenter's Shop.","The Diviner Table costs 2,250g at the Carpenter's Shop when it appears in the rotating stock.",PASS
What machine do you use to make Dried Fruit in Stardew Valley?,You use a Dehydrator to make Dried Fruit in Stardew Valley.,"To make Dried Fruit, you need to use the Dehydrator. Place 5 pieces of any fruit (except grapes) inside, and it will produce Dried Fruit after one in-game day.","To make Dried Fruit, you use the Dehydrator. This machine requires five pieces of fruit (except grapes) and completes the process in one in-game day.","To make Dried Fruit, use the Dehydrator machine. It requires 5 pieces of any fruit (except grapes) and takes about one in-game day to process.",FAIL
How long does it take to make Dried Fruit in Stardew Valley?,It takes 1 in-game day (1750 minutes) to make Dried Fruit in Stardew Valley.,It takes one in-game day (approximately 1750 minutes) to make Dried Fruit in a Dehydrator. Let me know if you'd like more details!,It takes one in-game day (approximately 1750 in-game minutes) to make Dried Fruit using a dehydrator.,Making Dried Fruit in a Dehydrator takes approximately one in-game day (1750 minutes).,FAIL
Where can you obtain a Cockle in Stardew Valley?,"A Cockle can be obtained using a Crab Pot in any saltwater body of water, foraging from the Beach, gifted by a pet turtle with max friendship, or randomly found at the Traveling Cart.","You can obtain a Cockle by placing Crab Pots in any saltwater body of water, foraging on the Beach, or purchasing it from the Traveling Cart (price varies between 150–1,000g). It may also be gifted by a pet turtle with max friendship.","You can obtain a Cockle by using a Crab Pot in any saltwater body, foraging at the Beach, receiving it from a pet turtle with max friendship, or purchasing it from the Traveling Cart (150–1,000g).","You can obtain a Cockle by using a Crab Pot in any saltwater body of water, foraging at the beach, receiving it as a gift from a pet turtle with max friendship, or purchasing it from the Traveling Cart for 150–1,000g.",FAIL
What is the base sell price of a Cockle in Stardew Valley?,The base sell price of a Cockle is 50g.,I couldn't locate the specific base sell price of a Cockle. Do you want me to refine the search or clarify further?,The search didn’t provide specific details about the base sell price of a Cockle. Can you clarify if you’re looking for single-item pricing or tier-related ones?,"I couldn't locate the exact base sell price for a Cockle. Do you want me to dig further or check specific grades (like regular, silver, or gold quality)?",FAIL
How long does it take for Poppy Seeds to grow?,Poppy Seeds take 7 days to grow.,Poppy Seeds take 7 days to grow into fully matured Poppy flowers.,Poppy Seeds take 7 days to grow into mature Poppy flowers.,Poppy Seeds take 7 days to grow into mature Poppy flowers.,PASS
What season can Poppy Seeds be planted in?,Poppy Seeds can be planted in Summer.,Poppy Seeds can be planted during the summer season and take 7 days to grow into Poppy flowers.,Poppy Seeds can only be planted in the Summer season.,Poppy Seeds can be planted in the summer season and take 7 days to fully grow.,PASS
How long does an Orange Sapling take to grow into a mature Orange tree in Stardew Valley?,An Orange Sapling takes 28 days to grow into a mature Orange tree.,An Orange Sapling takes 28 days to grow into a mature Orange Tree.,An Orange Sapling takes 28 days to grow into a mature Orange Tree.,"The Orange Sapling takes 28 days to grow into a mature Orange Tree. After that, it will produce one orange each day during the Summer, or year-round if planted in a Greenhouse.",PASS
What season do Orange trees produce fruit in Stardew Valley?,Orange trees produce fruit in the Summer.,"Orange trees produce fruit during the summer season. If placed in a greenhouse, they can produce fruit year-round.","Orange trees produce fruit during the summer. However, if planted in a Greenhouse, they can produce fruit year-round.","Orange trees produce fruit during the summer. If planted in the greenhouse, however, they can produce fruit all year round.",PASS
Where can the Deluxe Tree be obtained in Stardew Valley?,The Deluxe Tree can be obtained by winning it in the Crane Game inside the Movie Theater.,"The Deluxe Tree is a decorative item that can be won from the Crane Game in the Movie Theater, available during any season.","The Deluxe Tree Fertilizer isn't mentioned, but **Tree Fertilizer**, which boosts wild tree growth, can be crafted once you reach Foraging Level 7. The recipe requires Fiber and Stone. If you meant something else, could you clarify?","The Deluxe Tree is a decorative item that can be won in the Crane Game at the Movie Theater, available during any season.",PASS
What is the sell price of the Deluxe Tree in Stardew Valley?,The Deluxe Tree cannot be sold.,The Deluxe Tree is a decorative item and cannot be sold.,"The Deluxe Tree is a decorative item obtained from the Crane Game in the Movie Theater, and it cannot be sold.",The Deluxe Tree cannot be sold. It is a decorative furniture item obtained from the Crane Game in the Movie Theater.,PASS
Where can dangerous Skeletons be encountered?,Dangerous Skeletons can be encountered in the Dangerous Mines and the Quarry Mine.,"Dangerous Skeletons can be encountered in the Mines after activating the Shrine of Challenge or during the ""Danger In The Deep"" quest. They also spawn in the Quarry Mine at any time. Additionally, they may appear in the Skull Cavern during the Desert Festival if specific conditions are met.","Dangerous Skeletons can be encountered in the Mines on floors 71-79 after activating the Shrine of Challenge or during the ""Danger In The Deep"" quest. They also appear in the Quarry Mine at any time. Additionally, during the Desert Festival, they may spawn in Skull Cavern if a specific Calico Statue effect is triggered.","Dangerous Skeletons can be encountered in the Mines after activating the Shrine of Challenge or during the ""Danger in the Deep"" quest. They also appear in the Quarry Mine at any time and may spawn in the Skull Cavern during the Desert Festival if a specific Calico Statue effect is activated.",PASS
What is the base health of a dangerous Skeleton?,The base health of a dangerous Skeleton is 655.,The base health of a dangerous Skeleton is 655.,The base health of a dangerous Skeleton is 655.,The base health of a dangerous Skeleton is 655.,PASS
At what fishing level is the recipe for the Treasure Hunter unlocked?,The recipe for the Treasure Hunter is unlocked at Fishing level 7.,The recipe for the Treasure Hunter is unlocked at Fishing Level 7.,The recipe for the Treasure Hunter is unlocked at Fishing Level 7.,The recipe for the Treasure Hunter tackle is unlocked at Fishing Level 7.,PASS
What materials are needed to craft the Treasure Hunter?,"To craft the Treasure Hunter, you need 2 Gold Bars.","To craft the Treasure Hunter, you need **2 Gold Bars**. It's unlocked at Fishing Level 7.","To craft the Treasure Hunter, you'll need a Gold Bar as the primary material.","To craft a Treasure Hunter, you'll need **2 Gold Bars**. The crafting recipe is unlocked through the Fishing skill.",PASS
What is the luck bonus of the Lucky Ring?,The Lucky Ring provides +1 Luck.,"The Lucky Ring provides a bonus of +1 Luck. If you equip a second Lucky Ring, the bonus increases by another +1 Luck, for a total of +2 Luck.","The Lucky Ring provides a +1 Luck bonus while equipped. If you equip two Lucky Rings, the bonus increases further to a total of +2 Luck.","The Lucky Ring provides a +1 Luck bonus. Equipping two Lucky Rings can stack this bonus, increasing it further.",PASS
Can the Lucky Ring be sold?,The Lucky Ring cannot be sold.,The Lucky Ring cannot be sold to any vendor.,The Lucky Ring can be sold for 100g.,"The Lucky Ring can be sold for 100g, according to available evidence.",FAIL
Where can the Burglar's Ring be purchased after completing its requirement?,"It can be purchased from Marlon at the Adventurer's Guild for 20,000g.","The Burglar's Ring can be purchased from Marlon at the Adventurer's Guild for 20,000g after completing the Monster Eradication Goal of killing 500 Dust Sprites.","The Burglar's Ring can be purchased from Marlon at the Adventurer's Guild for 20,000g after fulfilling its requirement of killing 500 Dust Sprites as part of the Monster Eradication Goals.","After completing the Monster Eradication Goal of killing 500 Dust Sprites, the Burglar's Ring becomes available for purchase at the Adventurer's Guild from Marlon for 20,000g.",PASS
What is the main effect of equipping the Burglar's Ring?,"With the Burglar's Ring equipped, monsters drop twice as much loot on average due to the game making two random rolls for each item in the drop list.","The Burglar's Ring doubles the loot dropped by monsters. With it equipped, the game makes two random rolls for each item in a monster's drop list, significantly increasing your chances of obtaining more items. However, the effect does not stack if you equip two Burglar's Rings.",Equipping the Burglar's Ring causes monsters to drop twice as much loot by making two random rolls for each item in their drop list. This effect doesn't stack if you equip two Burglar's Rings. It’s especially useful for gathering monster loot efficiently.,"Equipping the Burglar's Ring causes monsters to drop, on average, twice as much loot. The game performs two random rolls for items in a monster's drop list instead of one. However, wearing two Burglar's Rings does not stack this effect.",PASS
Where can Pineapple Seeds be purchased?,Pineapple Seeds can be purchased at the Island Trader for one Magma Cap each.,Pineapple Seeds can be purchased from the Island Trader in exchange for one Magma Cap each.,"Pineapple Seeds can be purchased from the Island Trader in exchange for one Magma Cap each. They can also be obtained through other methods, such as using the Seed Maker, drops from Hot Heads and Tiger Slimes, or from Golden Coconuts.","Pineapple Seeds can be purchased from the Island Trader for one Magma Cap each. Additionally, they can be obtained through the Seed Maker, dropped by Hot Heads and Tiger Slimes, or found in Golden Coconuts.",PASS
What is the growth time for Pineapple Seeds to mature in Stardew Valley?,The growth time for Pineapple Seeds to mature is 14 days.,"Pineapple Seeds take 14 days to grow into mature plants. Once matured, they regrow every 7 days after harvesting.","Pineapple Seeds take 14 days to mature and, once fully grown, continue to produce fruit every 7 days.","Pineapple Seeds take 14 days to mature. Once the plant is fully grown, it produces pineapples and regrows in 7 days after each harvest.",PASS
How long does it take for an Artichoke to grow in Stardew Valley?,The Artichoke takes 8 days to grow in Stardew Valley.,An Artichoke takes 8 days to grow from Artichoke Seeds.,Artichokes take 8 days to grow from Artichoke Seeds.,Artichokes take 8 days to grow from Artichoke Seeds.,FAIL
In which season do Artichokes grow in Stardew Valley?,Artichokes grow in the Fall in Stardew Valley.,Artichokes grow in the Fall season.,Artichokes grow in the Fall season.,"Artichokes grow in the fall season. However, Artichoke Seeds are only available starting in Year 2 unless obtained earlier through Mixed Seeds.",PASS
What does the Golden Spur trinket do when equipped?,"When equipped, the Golden Spur grants the player a Speed (+1) buff after landing a critical strike.","Equipping the Golden Spur trinket grants a temporary Speed (+1) buff every time you land a critical strike. The speed boost lasts 5 to 10 seconds, with the exact duration being randomly determined. This trinket can also be reforged to recalibrate its speed boost duration.","When equipped, the Golden Spur grants a brief +1 Speed boost every time you land a critical strike. The boost lasts between 5 to 10 seconds, with the exact duration being random. You can adjust the duration by reforging the Golden Spur at an anvil.","Equipping the Golden Spur gives a temporary Speed (+1) buff whenever you land a critical strike. The boost lasts 5–10 seconds, with its duration determined randomly. The timing can also be adjusted by reforging the trinket on an Anvil.",PASS
How is the duration of the Golden Spur's speed boost determined?,The duration of the speed boost ranges from 5 to 10 seconds and is equally likely to be any of these values.,"The Golden Spur's speed boost lasts between 5 and 10 seconds, determined to the second. Each value within this range has an equal ≈16.67% chance of being assigned. The duration can also be altered by reforging the trinket using an anvil.","The Golden Spur's speed boost lasts between 5 to 10 seconds whenever you land a critical strike. The exact duration is determined randomly, with each possible duration (5, 6, 7, 8, 9, or 10 seconds) being equally likely. You can also adjust the duration by reforging the Golden Spur on an Anvil.","The Golden Spur’s speed boost lasts between 5 and 10 seconds, determined randomly to the second when triggered. Each possible duration is equally likely, with about a 16.67% chance for each. The boost duration can be modified by re-forging it on an Anvil.",PASS
Where can the Magic Turban be purchased?,The Magic Turban can be purchased from the Desert Trader on even-numbered calendar days.,The Magic Turban can be purchased from the Desert Trader on even-numbered days for 333 Omni Geodes.,The Magic Turban can be purchased from the Desert Trader on even-numbered calendar days. It costs 333 Omni Geodes.,The Magic Turban can be purchased from the Desert Trader on even-numbered calendar days for 333 Omni Geodes.,PASS
What is the purchase price for the Magic Turban?,The Magic Turban can be purchased for 333 Omni Geodes.,The Magic Turban can be purchased from the Desert Trader on even-numbered calendar days for 333 Omni Geodes.,The Magic Turban can be purchased from the Desert Trader on even-numbered calendar days for 333 Omni Geodes.,The Magic Turban can be purchased from the Desert Trader on even-numbered calendar days for 333 Omni Geodes.,PASS
Where can Mahogany Seeds be purchased?,Mahogany Seeds can be purchased from the Island Trader for 1 Stingray or from the Raccoon Wife's Shop for 20 Coal after completing four requests.,Mahogany Seeds can be purchased from the Island Trader for 1 Stingray and from the Raccoon Wife's Shop for 20 Coal after completing four requests. Let me know if you need further details!,Mahogany Seeds can be purchased from the Island Trader for 1 Stingray or from the Raccoon Wife's Shop for 20 Coal after completing four of her requests.,Mahogany Seeds can be purchased from the Island Trader for 1 Stingray or from the Raccoon Wife's Shop for 20 Coal after completing four special requests.,PASS
What is the chance of an unfertilized Mahogany Seed growing to the next stage each night?,Unfertilized Mahogany Seeds have a 15% chance of growing to the next stage each night.,An unfertilized Mahogany Seed has a 15% chance of growing to the next stage each night.,An unfertilized Mahogany Seed has a 15% chance of growing to the next stage each night.,An unfertilized Mahogany Seed has a 15% chance of growing to the next stage each night.,PASS
What is the processing time for Wine in a Keg?,"The processing time for Wine in a Keg is 10,000 minutes.","Processing wine in a Keg takes 10,000 in-game minutes, which is about 6.25 days.","Processing wine in a keg takes approximately 10,000 in-game minutes, which is about 6.25 in-game days.","Processing wine in a keg takes 10,000 in-game minutes, which is about 6.25 days.",PASS
How much increase in value does a regular-quality Ancient Fruit get when processed in a Keg?,A regular-quality Ancient Fruit increases in value by 1100g when processed in a Keg.,"A regular-quality Ancient Fruit, worth 550g, sells for 1650g when processed into wine in a Keg, resulting in a value increase of 1100g.","Processing a regular-quality Ancient Fruit in a Keg triples its base value. The fruit's raw base price is 550g, and turning it into wine increases its value to 1650g, resulting in a net gain of 1100g.","When processed in a keg, regular-quality Ancient Fruit (base price 550g) is turned into wine worth 1650g, which is a threefold increase in its base value (an additional 1100g).",PASS
What must the player do to reach the golden garbage can to obtain 'The Alleyway Buffet'?,The player must clear a large log and boulder with a steel or better axe and pickaxe to reach the golden garbage can.,"To reach the golden garbage can and obtain *The Alleyway Buffet*, head to the easternmost part of town near the Blacksmith. Use a steel or better axe and pickaxe to clear a large log and boulder blocking the way. There's a hidden path north of the Minecart track, leading to a clearing where the golden garbage can can be found behind a tree.","To obtain ""The Alleyway Buffet"" from the golden garbage can, go to the easternmost area of the town near the Blacksmith. You'll need a steel or better axe and pickaxe to clear a large log and boulder blocking a hidden opening in the fence. Behind a tree at the end of this path is the golden garbage can containing the item.","To reach the golden garbage can and obtain ""The Alleyway Buffet,"" go to the easternmost region of Pelican Town. Use a steel or better axe and pickaxe to clear a log and boulder blocking a hidden path north of the Minecart by the Blacksmith. The golden garbage can is behind a tree at the clearing's end. You can also buy it later from the Bookseller for 20,000g in Year 3.",PASS
What effect does the first reading of 'The Alleyway Buffet' have?,The first reading of 'The Alleyway Buffet' increases the player's chance to find items in Garbage Cans by 20%.,"The first reading of ""The Alleyway Buffet"" increases the chance of finding items in garbage cans by 20%.",The first reading of 'The Alleyway Buffet' grants a power that increases your chance to find items in garbage cans by 20%.,"The first reading of ""The Alleyway Buffet"" gives you a power that increases your chance to find items in garbage cans by 20%.",PASS
Where can the Wall Palm be purchased?,"The Wall Palm can be purchased for 1,000g from Pierre's booth at the Luau or for 0g from the Furniture Catalogue.","The Wall Palm can be purchased for 1,000g from Pierre's booth at the Luau or obtained for free from the Furniture Catalogue.","You can purchase the Wall Palm for 1,000g from Pierre's booth at the Luau or get it for free from the Furniture Catalogue.","The Wall Palm can be purchased for 1,000g from Pierre's booth at the Luau or obtained from the Furniture Catalogue for free (0g).",PASS
Can the Wall Palm be sold in Stardew Valley?,The Wall Palm cannot be sold.,The Wall Palm cannot be sold. It is only a decorative piece of furniture.,The Wall Palm cannot be sold.,The Wall Palm cannot be sold. It is a decorative piece of furniture meant for display.,PASS
What is required to obtain the Squid Hat in Stardew Valley?,You need to catch at least 10 Squid to obtain the Squid Hat.,"The Squid Hat is rewarded for reaching the iridium-level target at SquidFest on Winter 13. To achieve this, you must catch at least 10 Squid during the festival. The hat cannot be sold once obtained.","To obtain the Squid Hat, you need to reach the iridium-level target at SquidFest, a festival occurring on Winter 13. Achieving this requires catching at least 10 squids during the event.","The Squid Hat can be obtained as a reward by reaching the iridium-level target at SquidFest, held on Winter 13. To do so, you need to catch at least 10 squid during the event.",PASS
Can you sell the Squid Hat in Stardew Valley?,The Squid Hat cannot be sold.,The Squid Hat cannot be sold. It’s typically a reward for a specific achievement or event. Let me know if you’d like details!,The Squid Hat cannot be sold.,The Squid Hat cannot be sold. It's a decorative item that you can wear or store.,PASS
